movieId,title,avgVote,releaseYear,genres
157353,Transcendence,6.000000,2014,Drama:Mystery:Science Fiction:Thriller
157354,Fruitvale Station,7.500000,2013,Drama
157360,In a World...,6.400000,2013,Comedy
157370,Kill Your Darlings,6.500000,2013,Drama:Thriller:Romance
157375,The Lifeguard,5.400000,2013,Comedy:Drama:Romance
157386,The Spectacular Now,7.300000,2013,Comedy:Drama:Romance
157409,Crystal Fairy & the Magical Cactus,6.000000,2013,Adventure:Comedy
157424,Cabin Fever: Patient Zero,6.200000,2014,Horror
157547,Oculus,6.200000,2013,Horror
157820,Mood Indigo,6.100000,2013,Drama:Fantasy
157823,Night Moves,5.200000,2014,Drama:Thriller
157832,Calvary,6.900000,2014,Drama
157834,The Zero Theorem,6.000000,2014,Drama:Fantasy:Science Fiction
157841,The Young and Prodigious T.S. Spivet,6.500000,2013,Adventure:Drama:Family
157845,The Rover,6.300000,2014,Crime:Drama
157847,Joe,7.200000,2013,Drama
157849,A Most Wanted Man,6.800000,2014,Thriller
157851,Maps to the Stars,5.100000,2015,Drama
158011,The Call,6.400000,2013,Thriller
158015,The Purge,5.600000,2013,Horror:Science Fiction:Thriller
158445,Miracle in Cell No. 7,7.600000,2013,Comedy:Drama:Foreign
158752,Escape from Tomorrow,4.300000,2013,Fantasy:Horror
158907,Breathe In,6.800000,2013,Drama
158914,The Look of Love,5.700000,2013,Comedy:Drama
158916,Sweetwater,5.400000,2013,Thriller:Western
158990,Wrong Cops,7.600000,2013,Comedy:Crime
158999,Blackfish,8.100000,2013,Documentary
159004,Dirty Wars,7.500000,2013,Crime:Documentary:Drama:Mystery:War
159014,20 Feet from Stardom,7.400000,2013,Documentary:Music
159037,The Square,8.300000,2013,Documentary:Drama:History
159092,Hell Baby,5.000000,2013,Comedy:Horror
159095,In Fear,5.200000,2013,Thriller
159117,V/H/S/2,6.100000,2013,Horror:Thriller
159121,Paulette,6.400000,2012,Comedy:Crime
159128,We Are What We Are,6.300000,2013,Drama:Horror:Thriller
159154,We Steal Secrets: The Story of WikiLeaks,5.900000,2013,Documentary
159622,Terms and Conditions May Apply,6.800000,2013,Documentary
159932,A Single Shot,6.300000,2013,Crime:Drama:Thriller
160070,Apartment 1303 3D,5.300000,2013,Horror
160085,Schlussmacher,6.000000,2013,Comedy
160139,Night Train to Lisbon,6.200000,2013,Mystery:Thriller:Romance
160588,Blue Jasmine,6.900000,2013,Comedy:Drama
160704,The Berlin File,6.700000,2013,Action:Drama:Thriller
161321,The Power of Few,4.200000,2013,Action:Crime:Drama
161545,Tutto tutto niente niente,3.900000,2012,Comedy
162145,The Liability,5.200000,2013,Comedy:Crime:Thriller
162215,How I Live Now,6.400000,2013,Action:Drama:Thriller:War
162903,The Fifth Estate,5.600000,2013,Drama:Thriller
164457,Out of the Furnace,6.700000,2013,Crime:Drama:Thriller
164558,One Direction: This Is Us,8.500000,2013,Documentary:Music
165213,New World,7.400000,2013,Thriller
165739,Pawn,6.200000,2013,Crime:Thriller
165904,Special 26,8.000000,2013,Crime:Drama:Thriller
166076,Superman: Unbound,6.600000,2013,Action:Adventure:Animation
166271,Haunter,6.000000,2013,Horror:Mystery:Thriller
166424,The Fantastic Four,6.900000,2015,Action:Adventure:Fantasy:Science Fiction
166666,3096 Days,6.600000,2013,Crime:Drama
166822,Big Ass Spider!,5.400000,2013,Science Fiction
167032,Curse of Chucky,5.500000,2013,Horror:Thriller
167449,The Guillotines,5.300000,2012,Action:Adventure:Drama:History
167575,Hatchet III,5.400000,2013,Action:Comedy:Horror:Thriller
167581,Free Fall,7.100000,2013,Drama:Romance
167963,Thesis on a Homicide,6.800000,2013,Suspense:Thriller
168055,Love Is in the Air,5.300000,2013,Comedy:Romance
168138,The Last Days,5.300000,2013,Adventure:Science Fiction:Thriller
168259,Fast & Furious 7,8.800000,2015,Action:Crime:Thriller
168530,Ride Along,6.300000,2014,Action:Comedy
168672,American Hustle,7.100000,2013,Crime:Drama
168676,Company of Heroes,5.300000,2013,Action:War
169020,Vive la France,5.800000,2013,Comedy
169209,Empire State,5.200000,2013,Action:Drama
169219,Devil's Pass,5.600000,2013,Mystery:Thriller
169813,Short Term 12,8.300000,2013,Drama
169881,The Physician,7.500000,2013,Adventure:Drama:History
169917,A Walk Among the Tombstones,6.600000,2014,Action:Crime:Drama
169934,Iron Man: Rise of Technovore,5.200000,2013,Action:Animation:Fantasy
170657,Journey to the West,6.500000,2013,Action:Adventure:Comedy:Fantasy
170687,The Boxtrolls,7.400000,2014,Adventure:Animation:Comedy:Fantasy:Family
170689,Möbius,6.000000,2013,Thriller
170759,Kokowaah 2,6.500000,2013,Drama
171337,Siberian Education,6.500000,2013,Crime:Drama
171372,Frank,7.100000,2014,Comedy:Drama:Mystery
171540,Big Bad Wolves,6.300000,2013,Comedy:Crime:Suspense
171846,Killers,7.300000,2014,Action:Crime:Drama:Thriller
172106,Jappeloup,6.000000,2013,Drama:Sport
172385,Rio 2,6.900000,2014,Animation:Family
172391,Khumba,6.500000,2013,Adventure:Animation:Family
172533,Drinking Buddies,6.100000,2013,Drama:Romance
172631,Family Weekend,6.800000,2013,Comedy:Drama
172803,Hours,6.500000,2013,Drama:Thriller
172828,Bad Milo,5.600000,2013,Comedy:Horror
172847,Scenic Route,6.700000,2013,Drama:Thriller
173185,It Boy,6.500000,2013,Comedy
173210,Downloaded,7.000000,2013,Documentary
173603,Skytten,5.800000,2013,Crime:Drama:Mystery:Suspense:Thriller
173897,Resident Evil: Rising,5.900000,2016,Action:Horror:Science Fiction
174188,Rapture-Palooza,4.800000,2013,Comedy:Fantasy:Horror
174316,A Case of You,4.800000,2013,Comedy:Romance
174321,The English Teacher,6.000000,2013,Comedy:Drama
174323,G.B.F.,6.200000,2013,Comedy
174675,The Machine,5.800000,2013,Science Fiction:Thriller
174682,Raze,5.400000,2013,Horror:Thriller
